Region,n,exposure,claim_rate,loss_cost
R24,160601,102706.44338573246,0.05484399225409555,449.8469625802752
R82,84752,45332.58728572498,0.056163866339437415,561.3778916255532
R93,79315,35748.98101504604,0.04570383912248629,279.85197950888414
R11,69791,30198.13195448761,0.05320170222521529,511.1917002843006
R53,42122,27752.79367467625,0.06113195004985518,307.3852005116097
R52,38751,21930.321164757843,0.04926324481948853,371.7211860980355
R91,35805,14710.624176959353,0.038793464599916214,231.90743867835454
R72,31329,14316.166692117673,0.040346005298605124,217.31989984277774
R31,27285,11488.074269032113,0.040021990104452995,397.57392412875123
R54,19046,11163.008715472715,0.048304105848997164,231.01540259616684
R73,17141,7014.428554532525,0.037804095443673066,100.8411259301536
R41,12990,8112.4879721536045,0.045342571208622014,279.92135939160005
R25,10893,6652.651142301071,0.05554025520976774,334.4540381970286
R26,10492,5022.988609177333,0.046511627906976744,172.72137705494416
R23,8784,3176.8821813009954,0.03233151183970856,113.58197621461225
R22,7994,3572.840220824912,0.05266449837378034,580.4391082267667
R83,5287,2322.274228609926,0.03423491583128428,192.4137982574551
R74,4567,2395.734542256157,0.052988832931902784,165.349170964874
R94,4516,1765.9353993562393,0.048715677590788306,261.7532693496027
R21,3026,1204.341509094992,0.04923992068737607,1473.5731065674318
R42,2200,1208.6358230406468,0.056363636363636366,150.67599534040926
R43,1326,563.772946328318,0.04072398190045249,189.009199932074
