n,seed,mean_exposure,total_exposure,claim_rate,n_claims,total_loss,max_loss,loss_cost
5000,0,0.528309792200015,2641.548961000075,0.0388,194,373188.94,50000.0,141.27655610771373
5000,1,0.5290129368964743,2645.0646844823714,0.0362,181,333998.63,28650.0,126.27238644084888
5000,2,0.5303044099109214,2651.5220495546073,0.0356,178,374411.93,35831.0,141.20641767353672
5000,3,0.5293742335504155,2646.8711677520773,0.0376,188,270914.99,17420.91,102.35291891070068
5000,4,0.5292159839808369,2646.0799199041844,0.0346,173,278632.30000000005,36204.0,105.30003190912292
5000,5,0.5295158395089453,2647.5791975447264,0.0312,156,298546.02,35831.0,112.76188462156723
5000,6,0.528615985477955,2643.0799273897746,0.0372,186,297741.73,41614.72,112.64953697183144
5000,7,0.5289863889512688,2644.931944756344,0.0374,187,385809.79,125847.05,145.86756788388425
5000,8,0.5291868821019537,2645.934410509769,0.0326,163,406782.54999999993,182500.0,153.7387126393767
5000,9,0.5300421807021484,2650.210903510742,0.0408,204,534776.63,109743.72,201.78644246447703
5000,10,0.5288960034433714,2644.480017216857,0.0378,189,411857.33999999997,70000.0,155.74227724112393
5000,11,0.5288499660154202,2644.2498300771013,0.0382,191,383935.0,40199.19,145.19618972190884
5000,12,0.5291370554682236,2645.6852773411183,0.0344,172,294785.18,22600.0,111.4211061023311
5000,13,0.5295132626693615,2647.5663133468074,0.04,200,294790.67,18753.6,111.34401752806448
5000,14,0.5293365165057264,2646.6825825286323,0.0398,199,714244.8300000001,399213.66000000003,269.8641819441804
5000,15,0.5287801513586347,2643.900756793173,0.0382,191,412986.82,86719.2,156.20360141691472
5000,16,0.5301977677969908,2650.988838984954,0.0402,201,358934.44999999995,96422.32,135.39643951780408
5000,17,0.5277134345385133,2638.5671726925666,0.036,180,317478.08,52954.670000000006,120.32215184274601
5000,18,0.5285938484916536,2642.969242458268,0.0378,189,357903.41000000003,35326.79,135.41716802845133
5000,19,0.5304392517403997,2652.196258701999,0.0404,202,378741.78,86719.2,142.80307453014754
10000,0,0.5294615137360581,5294.615137360581,0.0363,363,671439.72,70208.0,126.81558575657294
10000,1,0.5289965077475859,5289.965077475859,0.036,360,844185.8300000001,182500.0,159.5824958456642
10000,2,0.5294842572048807,5294.842572048807,0.0354,354,1142015.4899999998,281897.49,215.6845032614641
10000,3,0.5290483712852758,5290.483712852758,0.0396,396,747889.51,182500.0,141.36505291247173
10000,4,0.5294204649300097,5294.204649300097,0.033,330,684551.3,85442.21,129.30200952668102
10000,5,0.5291544452429074,5291.544452429074,0.0418,418,891676.9899999999,152666.39,168.50977970915034
10000,6,0.5281610995583502,5281.610995583502,0.0361,361,887298.97,287423.0,167.9977890726829
10000,7,0.5291906248222172,5291.9062482221725,0.0378,378,2169941.72,1404185.52,410.04916153399296
10000,8,0.5292806362751703,5292.806362751703,0.0359,359,734918.64,128902.06,138.85235726211596
10000,9,0.5291470851111609,5291.47085111161,0.0372,372,597808.54,42829.24,112.97587321574586
10000,10,0.529174910247773,5291.74910247773,0.0343,343,675887.54,86719.2,127.72478946205754
10000,11,0.5288047351598174,5288.047351598174,0.0368,368,581050.45,51204.0,109.87996350380499
10000,12,0.5285018181001572,5285.018181001572,0.0372,372,638493.71,32288.28,120.81201769470508
10000,13,0.5295888280559923,5295.888280559922,0.0384,384,732097.7,73002.7,138.23888670147645
10000,14,0.52842289879482,5284.2289879482,0.0346,346,545877.96,22600.0,103.30323709381065
10000,15,0.529188454749607,5291.88454749607,0.0387,387,1021358.9600000002,208472.6,193.0047700083084
10000,16,0.5284302938094169,5284.302938094169,0.0347,347,537778.36,35831.0,101.76902541358739
10000,17,0.5291548940788982,5291.548940788982,0.0351,351,615436.8899999999,70208.0,116.3056218295577
10000,18,0.5290070896025152,5290.070896025152,0.0364,364,600620.02,19122.04,113.53723452955862
10000,19,0.5288485135114904,5288.485135114905,0.0358,358,903719.1699999999,114759.95,170.88431694728862
20000,0,0.5290496079047833,10580.992158095665,0.03835,767,1320022.4,92149.0,124.75412326905774
20000,1,0.5285212428699754,10570.424857399506,0.0381,762,1391821.4500000002,132628.12,131.67128746255622
20000,2,0.5289974617112059,10579.949234224117,0.03685,737,1611712.0999999999,255013.03,152.33646819272238
20000,3,0.5288144994011528,10576.289988023054,0.03635,727,1434317.1300000001,182500.0,135.61628242268972
20000,4,0.5286451108615915,10572.90221723183,0.0372,744,2623097.29,1301172.6,248.09624037994487
20000,5,0.5292287234448686,10584.574468897372,0.03685,737,1785167.06,281897.49,168.65742361638524
20000,6,0.528833506886743,10576.67013773486,0.0348,696,1437638.05,89811.14,135.92539346300254
20000,7,0.5287537914514558,10575.075829029118,0.03535,707,1105037.0,28124.0,104.49447529885484
20000,8,0.5287622609476758,10575.245218953514,0.0369,738,2011694.07,399213.66000000003,190.22670664832768
20000,9,0.529119149599521,10582.38299199042,0.0385,770,1825248.19,281897.49,172.47988391475639
20000,10,0.5291274055318512,10582.548110637024,0.0382,764,1725628.46,208472.6,163.0636064168221
20000,11,0.5290119626843327,10580.239253686654,0.0372,744,2556613.51,307096.42,241.64042501299346
20000,12,0.5288036296878509,10576.072593757017,0.0355,710,1533939.67,382955.14,145.03868580719407
20000,13,0.5288112382663372,10576.224765326746,0.03955,791,1439452.47,132628.12,136.10267386895205
20000,14,0.5288480977992366,10576.96195598473,0.03535,707,2470742.6500000004,281897.49,233.5966282455982
20000,15,0.5289347355340969,10578.694710681937,0.03765,753,1474159.77,120000.0,139.35176411806773
20000,16,0.5290679862265141,10581.35972453028,0.0352,704,1218596.35,114759.95,115.1644383826196
20000,17,0.5292272758814283,10584.545517628565,0.038,760,1805162.51,241171.16,170.5470024190931
20000,18,0.5285576529680366,10571.153059360731,0.037,740,1253547.78,70000.0,118.58193453078295
20000,19,0.528566947114305,10571.3389422861,0.0351,702,1115709.37,47309.94,105.54097036252277
