bucket,n_policies,exposure,actual_loss_cost,predicted_loss_cost,actual_lift,predicted_lift
1,7618,7145.67,31.38979689798158,20.84060938704904,0.1453476767231035,0.0965005974949796
2,8282,7147.24,58.45198006503209,36.129241093343786,0.2706567210335749,0.1672932536567023
3,8927,7146.530000000001,49.39103033220317,47.47502419137504,0.22870079513664138,0.21982889825684745
4,9778,7146.320000000001,137.65081468504064,57.62618397033691,0.6373799161089704,0.26683294529520196
5,10898,7146.59,66.80947976587436,68.25626657110139,0.309355383808598,0.31605460207805147
6,12279,7146.700000000001,108.56589754711965,80.79242829613979,0.5027047811464811,0.37410218956902336
7,14461,7145.83,145.17445978983548,97.08128189574417,0.6722174889682391,0.4495262846939426
8,17150,7146.639999999999,166.1392696427972,121.0687788933025,0.7692931857296141,0.5605982667882808
9,19879,7147.261105621679,235.42951000859486,164.82136097401855,1.0901355119633878,0.7631907262660255
10,26331,7146.6570566659175,1160.6030209975609,347.56060935704863,5.374069582165978,1.6093486445514884
