seed,arm,n_rows,n_claims,mean_exposure,loss_cost,max_claim,n_above_q99,n_above_q999,cap_q995,top1_share
0,srs,20000,767,0.5290496079047833,124.75412326905774,92149.0,6,0,27232.71359999986,0.06980866385297704
0,tail_balanced,20000,767,0.529357970918482,267.16080283936714,1404185.52,8,1,27816.772299999342,0.49644632230507924
1,srs,20000,762,0.5285212428699754,131.6712874625562,132628.12,7,0,23116.96410000056,0.09529104469542411
1,tail_balanced,20000,762,0.5286561941762108,157.69183718712466,203172.0,8,1,36003.32890000023,0.12185723569441055
2,srs,20000,737,0.5289974617112059,152.33646819272238,255013.03,6,1,33913.552000000425,0.15822492739242947
2,tail_balanced,20000,737,0.5290973715472715,149.43372572195068,255013.03,8,1,31419.312000000613,0.1612679804057147
3,srs,20000,727,0.5288144994011528,135.61628242268972,182500.0,5,1,29077.21020000003,0.12723824890803612
3,tail_balanced,20000,727,0.5282703155924844,155.94599785074885,287423.0,8,1,34145.480000000054,0.17444602630308112
4,srs,20000,744,0.5286451108615915,248.09624037994493,1301172.6,6,1,33915.35999999929,0.496044353734207
4,tail_balanced,20000,744,0.5290093848341941,146.30225893678193,209695.87,8,1,35316.46364999968,0.13547073058781836
5,srs,20000,737,0.5292287234448686,168.65742361638524,281897.49,7,1,49995.970800001596,0.15791098565307382
5,tail_balanced,20000,737,0.5285924962946328,159.44546335940066,382955.14,8,1,32341.5424000013,0.22718766429839185
6,srs,20000,696,0.528833506886743,135.9253934630025,89811.14,7,0,30496.49999999987,0.062471315363418496
6,tail_balanced,20000,696,0.5284605068867431,139.47604133036307,203172.0,7,1,35821.8999999998,0.13782300367087758
7,srs,20000,707,0.5287537914514558,104.49447529885484,28124.0,4,0,16893.722300000103,0.025450731513967404
7,tail_balanced,20000,707,0.5287677914514559,135.4844690962554,182500.0,8,1,35106.04480000004,0.1273732898015864
8,srs,20000,738,0.5287622609476758,190.2267066483277,399213.66000000003,12,1,47880.73999999875,0.19844650633184993
8,tail_balanced,20000,738,0.5294420771390074,161.100949816661,382955.14,8,1,35723.99999999953,0.22449224998612588
9,srs,20000,770,0.529119149599521,172.47988391475639,281897.49,9,1,45961.61999999983,0.15444337462950725
9,tail_balanced,20000,770,0.5292120605584251,153.66311458244294,182878.18,8,1,31655.952199999545,0.11244302757660109
10,srs,20000,764,0.5291274055318512,163.0636064168221,208472.6,9,1,43779.928349999995,0.12080966722118155
10,tail_balanced,20000,764,0.5281345425181525,140.71181776080425,183073.66,8,1,30496.259999999027,0.1231744754809614
11,srs,20000,744,0.5290119626843327,241.64042501299346,307096.42,12,4,146472.24579999846,0.12011843745596104
11,tail_balanced,20000,744,0.5293555517254286,162.7789832734095,307096.42,8,1,34872.22389999935,0.17819641160466856
12,srs,20000,710,0.5288036296878509,145.03868580719407,382955.14,3,1,14596.725500000046,0.24965462950703923
12,tail_balanced,20000,710,0.5290502674227113,138.42406952511107,155077.15,8,1,35002.028450000376,0.10587886184167253
13,srs,20000,791,0.5288112382663372,136.10267386895205,132628.12,4,0,16349.901999999867,0.09213789462600318
13,tail_balanced,20000,791,0.529186644247324,154.64321121784212,255013.03,8,1,32037.023999999616,0.15580903636949428
14,srs,20000,707,0.5288480977992366,233.5966282455981,281897.49,14,5,168235.50970000075,0.11409423397455014
14,tail_balanced,20000,707,0.5292420977992364,142.235490738599,208472.6,8,1,36662.15970000024,0.13847029882344092
15,srs,20000,753,0.5289347355340969,139.35176411806773,120000.0,8,0,30117.552000000003,0.08140230281823523
15,tail_balanced,20000,753,0.528699146493001,141.03200467524698,182500.0,8,1,32491.132800000087,0.12237891111348775
16,srs,20000,704,0.5290679862265141,115.1644383826196,114759.95,3,0,16973.215350000017,0.09417388292686088
16,tail_balanced,20000,704,0.529029486226514,149.28757669697123,203172.0,8,1,47665.5672500005,0.12862645869021228
17,srs,20000,760,0.5292272758814283,170.5470024190931,241171.16,11,1,60689.25000000039,0.1336008025116808
17,tail_balanced,20000,760,0.5299254136162886,159.95961473434508,210239.33,8,1,35136.71680000169,0.12401061785313838
18,srs,20000,740,0.5285576529680366,118.58193453078295,70000.0,6,0,20159.75194999994,0.05584150928814217
18,tail_balanced,20000,740,0.5283232899543379,142.80186381054799,255013.03,8,1,33465.48924999959,0.169004685041035
19,srs,20000,702,0.528566947114305,105.54097036252276,47309.94,4,0,18248.453350000018,0.042403462113077
19,tail_balanced,20000,702,0.5292449950595104,161.94916399797475,399213.66000000003,8,1,31659.00000000004,0.23288414773522464
