seed,n_claims,mean_exposure,loss_cost,max_claim,cap_q995,floor_q005,top1_share,top5_share,n_above_port_q99,n_above_port_q999,stage2_rows,stage2_ft_train,stage2_query_rows,exp_q99_in_query
0,363,0.5294615137360581,126.81558575657294,70208.0,26536.163399999987,45.4715,0.10456337018608312,0.23802525415088638,3,0,363,327,65,0.54
1,360,0.5289965077475859,159.5824958456642,182500.0,20556.728899999845,21.0008,0.21618462844845426,0.30828267989288566,3,1,360,324,65,0.54
2,354,0.5294842572048807,215.68450326146413,281897.49,75591.27420000061,43.4164,0.24684208968128793,0.4758511287793478,8,1,354,319,64,1.4400000000000002
3,396,0.5290483712852758,141.36505291247173,182500.0,12142.9785,19.946749999999998,0.24402000236639232,0.30128264534690424,1,1,396,356,71,0.18000000000000002
4,330,0.5294204649300097,129.30200952668102,85442.21,39073.52585000031,18.575499999999998,0.1248149116070629,0.33056526223819893,5,0,330,297,59,0.9
5,418,0.5291544452429074,168.50977970915037,152666.39,34829.63160000033,13.79555,0.17121266076407335,0.3013382233851296,5,0,418,376,75,0.9
6,361,0.5281610995583502,167.9977890726829,287423.0,44567.29599999977,48.614000000000004,0.3239302757220602,0.46204445610930894,3,1,361,325,65,0.54
7,378,0.5291906248222172,410.04916153399284,1404185.52,66231.63485000089,19.19935,0.6471074808405455,0.7687415586442571,4,1,378,340,68,0.7200000000000001
8,359,0.5292806362751703,138.85235726211596,128902.06,34402.612199998955,33.6241,0.1753963676849998,0.34426643471718177,3,0,359,323,65,0.54
9,372,0.5291470851111609,112.97587321574586,42829.24,21047.418049999615,49.358000000000004,0.07164374065315292,0.2110788848884628,3,0,372,335,67,0.54
10,343,0.529174910247773,127.72478946205752,86719.2,42551.95410000003,18.7849,0.12830418504238147,0.2955752076743418,3,0,343,309,62,0.54
11,368,0.5288047351598174,109.87996350380499,51204.0,15095.012100000422,38.08425,0.08812315694790358,0.1920775381896701,2,0,368,331,66,0.36000000000000004
12,372,0.5285018181001572,120.81201769470508,32288.28,13899.289499999884,27.836199999999998,0.050569456667004596,0.13785739565077315,2,0,372,335,67,0.36000000000000004
13,384,0.5295888280559923,138.23888670147645,73002.7,34583.88989999988,61.7483,0.09971715523761378,0.25197202504529115,4,0,384,346,69,0.7200000000000001
14,346,0.52842289879482,103.30323709381065,22600.0,11953.926249999999,20.759500000000003,0.04140119524151516,0.12211824782227883,1,0,346,311,62,0.18000000000000002
15,387,0.529188454749607,193.00477000830836,208472.6,51149.66949999989,29.2636,0.2041129594633409,0.3993972892742822,7,1,387,348,70,1.26
16,347,0.5284302938094169,101.76902541358739,35831.0,22219.000799999852,14.4094,0.0666278204277316,0.20955188676613912,4,0,347,312,62,0.7200000000000001
17,351,0.5291548940788982,116.3056218295577,70208.0,13898.789999999999,37.025000000000006,0.11407830947540375,0.20071450380558115,2,0,351,316,63,0.36000000000000004
18,364,0.5290070896025152,113.53723452955862,19122.04,16422.673150000002,67.4712,0.031837167199321795,0.130382184063728,1,0,364,328,66,0.18000000000000002
19,358,0.5288485135114904,170.88431694728865,114759.95,64070.88154999997,19.7363,0.12698629597510916,0.3291455795941564,6,0,358,322,64,1.08
20,393,0.5290008699004416,147.09637058752793,92149.0,24098.869200000034,23.531200000000002,0.11842197047352904,0.23487234474242125,5,0,393,354,71,0.9
21,385,0.5293904335653866,125.21906479032049,42542.89,14330.583999999992,59.3632,0.06417715250956878,0.13970643285484075,1,0,385,346,69,0.18000000000000002
22,341,0.529521793697133,134.57533731040053,65181.79,38092.161000000415,22.499000000000002,0.09146963929872358,0.27500536271290776,6,0,341,307,61,1.08
23,389,0.5284021401302492,141.43543207750471,181204.0,12941.86400000003,43.64019999999999,0.2424627300392983,0.3208182508319252,2,1,389,350,70,0.36000000000000004
24,379,0.5289809533647728,137.787204882099,73002.7,33405.59970000004,23.2375,0.10015900408423707,0.26097588552616935,4,0,379,341,68,0.7200000000000001
25,361,0.5289709770192379,132.72709477489275,85442.21,24747.869999999788,16.568,0.12169732729015763,0.25483897804748956,3,0,361,325,65,0.54
26,356,0.5289268494647802,154.97500851572516,85552.27,35193.44100000022,13.7185,0.10436965675542342,0.2687271191153621,8,0,356,320,64,1.4400000000000002
27,355,0.5288204703944906,422.17865891888505,1301172.6,116352.12820000158,10.0403,0.5828145363259105,0.7560746223819104,6,2,355,320,64,1.08
28,359,0.5288982472490455,114.16540764516397,19811.6,13940.23319999998,23.8958,0.032810503229743535,0.12391493117372751,1,0,359,323,65,0.18000000000000002
29,381,0.529399025301295,131.1395312080303,70208.0,24388.6920000003,31.854,0.10112763186361597,0.229753602225361,3,0,381,343,69,0.54
30,392,0.5279728265588741,136.0915209752518,109743.72,16799.05465000016,27.79145,0.15273446168459398,0.2463852364475202,2,0,392,353,71,0.36000000000000004
31,364,0.5284364429972304,110.49276743448603,24285.0,15127.07280000001,32.1773,0.04159216200545296,0.13837410013169565,2,0,364,328,66,0.36000000000000004
32,393,0.5289704686728048,112.99016020678808,18825.38,14228.85520000007,54.9588,0.03149718200861063,0.12730954176532377,1,0,393,354,71,0.18000000000000002
33,335,0.5286698699004417,272.5379772959889,399213.66000000003,183488.17329999863,71.4618,0.2770727436190308,0.6051798184648465,7,3,335,302,60,1.26
34,374,0.5282612601991167,137.32795013712672,65181.79,29573.35169999997,30.97525,0.08985010359633702,0.2354114621984611,5,0,374,337,67,0.9
35,376,0.5281619633206078,122.88344202591243,35098.33,22280.76625,5.9925,0.05407866524422225,0.1774223464293132,4,0,376,338,68,0.7200000000000001
36,382,0.5291698094168725,106.20362688856011,11204.0,9868.42669999998,22.718,0.019936030679707794,0.08870578132256206,0,0,382,344,69,0.0
37,374,0.528611404895576,211.68103632214402,128902.06,72084.69834999986,32.83155,0.11519705486321752,0.3208633278047376,12,0,374,337,67,2.16
38,367,0.5288603623025676,188.42403421224637,205432.05,91650.10000000059,57.6764,0.20615358135011796,0.4901928301999148,4,1,367,330,66,0.7200000000000001
39,353,0.52891999543379,117.60902317368883,96422.32,14700.803200000075,26.2276,0.15500544290397272,0.24447994883560956,2,0,353,318,64,0.36000000000000004
40,380,0.5290261615390374,116.5460812384613,61469.0,17631.878450000437,25.82055,0.09969682395168308,0.21502173205540698,2,0,380,342,68,0.36000000000000004
41,372,0.5286269237218355,232.699492742312,209695.87,102513.02954999787,39.62515,0.1704689012222357,0.4674558499815509,6,2,372,335,67,1.08
42,351,0.5286306263193352,159.24445313758196,281897.49,18980.1625,59.94,0.33486871431779636,0.41674748114178783,3,1,351,316,63,0.54
